Writing models at epoch 1
Loss 0.028691657211469566, Test Accuracy 0.9526304217784302, Train Accuracy 0.9898767922112167, Val Accuracy 0.9459673803785573, Test Seq Accuracy 0.14650000000000002, Train Seq Accuracy 0.7962380952380955, Val Seq Accuracy 0.07199999999999998
Writing models at epoch 2
Loss 0.003590564364972322, Test Accuracy 0.9581521630287171, Train Accuracy 0.9991573496388105, Val Accuracy 0.9588369455026544, Test Seq Accuracy 0.17475, Train Seq Accuracy 0.9808809523809531, Val Seq Accuracy 0.2455
Loss 0.00157597822987515, Test Accuracy 0.9732282499904218, Train Accuracy 0.9998913044021243, Val Accuracy 0.9586086836845978, Test Seq Accuracy 0.417, Train Seq Accuracy 0.9976904761904769, Val Seq Accuracy 0.21974999999999997
Writing models at epoch 4
Loss 0.00028027545498765033, Test Accuracy 0.967358686613, Train Accuracy 0.9999751553031969, Val Accuracy 0.9612825962512389, Test Seq Accuracy 0.343, Train Seq Accuracy 0.9994285714285717, Val Seq Accuracy 0.2785
Writing models at epoch 5
Loss 0.00012761064926567286, Test Accuracy 0.9653912942046704, Train Accuracy 1.0, Val Accuracy 0.9619347708380741, Test Seq Accuracy 0.30674999999999997, Train Seq Accuracy 1.0, Val Seq Accuracy 0.2854999999999999
Loss 8.578694668476996e-05, Test Accuracy 0.9660217291635016, Train Accuracy 1.0, Val Accuracy 0.9614021621320559, Test Seq Accuracy 0.3117500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.27725000000000005
Loss 6.296116676505493e-05, Test Accuracy 0.9667608588933945, Train Accuracy 1.0, Val Accuracy 0.9617608575717262, Test Seq Accuracy 0.31275000000000003, Train Seq Accuracy 1.0, Val Seq Accuracy 0.273
Loss 4.836434559167727e-05, Test Accuracy 0.9680434680503348, Train Accuracy 1.0, Val Accuracy 0.96214129238025, Test Seq Accuracy 0.31850000000000006, Train Seq Accuracy 1.0, Val Seq Accuracy 0.27724999999999994
Loss 3.820066795805874e-05, Test Accuracy 0.9680434680503348, Train Accuracy 1.0, Val Accuracy 0.96214129238025, Test Seq Accuracy 0.31850000000000006, Train Seq Accuracy 1.0, Val Seq Accuracy 0.27724999999999994
Loss 3.083456945403115e-05, Test Accuracy 0.9680434680503348, Train Accuracy 1.0, Val Accuracy 0.9623369447563006, Test Seq Accuracy 0.31850000000000006, Train Seq Accuracy 1.0, Val Seq Accuracy 0.28174999999999994
Loss 2.5308650472889777e-05, Test Accuracy 0.9673369467258454, Train Accuracy 1.0, Val Accuracy 0.9623369447563006, Test Seq Accuracy 0.30625, Train Seq Accuracy 1.0, Val Seq Accuracy 0.28174999999999994
Loss 2.1049044216456622e-05, Test Accuracy 0.9673369467258454, Train Accuracy 1.0, Val Accuracy 0.9623369447563006, Test Seq Accuracy 0.30625, Train Seq Accuracy 1.0, Val Seq Accuracy 0.28174999999999994
Writing models at epoch 13
Loss 1.7689828224399168e-05, Test Accuracy 0.9671739034030749, Train Accuracy 1.0, Val Accuracy 0.9626956405846969, Test Seq Accuracy 0.30324999999999996, Train Seq Accuracy 1.0, Val Seq Accuracy 0.28700000000000003
Loss 1.5008139282303011e-05, Test Accuracy 0.9671304255723954, Train Accuracy 1.0, Val Accuracy 0.9626956405846969, Test Seq Accuracy 0.30124999999999996, Train Seq Accuracy 1.0, Val Seq Accuracy 0.28700000000000003
Loss 1.2808261722650217e-05, Test Accuracy 0.9671304255723954, Train Accuracy 1.0, Val Accuracy 0.9626956405846969, Test Seq Accuracy 0.30124999999999996, Train Seq Accuracy 1.0, Val Seq Accuracy 0.28700000000000003
Loss 1.101265661418438e-05, Test Accuracy 0.9673695569453032, Train Accuracy 1.0, Val Accuracy 0.9626956405846969, Test Seq Accuracy 0.30500000000000005, Train Seq Accuracy 1.0, Val Seq Accuracy 0.28700000000000003
Loss 9.535291768691462e-06, Test Accuracy 0.9673695569453032, Train Accuracy 1.0, Val Accuracy 0.9626956405846969, Test Seq Accuracy 0.30500000000000005, Train Seq Accuracy 1.0, Val Seq Accuracy 0.28700000000000003
Loss 8.284941229604833e-06, Test Accuracy 0.9673152091710464, Train Accuracy 1.0, Val Accuracy 0.9624891187833703, Test Seq Accuracy 0.3040000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.28274999999999995
Loss 7.2271922481772695e-06, Test Accuracy 0.9673152091710464, Train Accuracy 1.0, Val Accuracy 0.9624891187833703, Test Seq Accuracy 0.3040000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.28274999999999995
