Writing models at epoch 1
Loss 0.009051583383394323, Test Accuracy 0.9729347729164621, Train Accuracy 0.9959119994818053, Val Accuracy 0.9556086831766626, Test Seq Accuracy 0.4347499999999999, Train Seq Accuracy 0.9138571428571433, Val Seq Accuracy 0.38925
Writing models at epoch 2
Loss 0.002889269719953122, Test Accuracy 0.9829891228157541, Train Accuracy 0.9997867495870492, Val Accuracy 0.9771521631790244, Test Seq Accuracy 0.631, Train Seq Accuracy 0.9950952380952395, Val Seq Accuracy 0.5350000000000001
Loss 7.774871166633523e-05, Test Accuracy 0.9894782505605532, Train Accuracy 1.0, Val Accuracy 0.9735325972671094, Test Seq Accuracy 0.7600000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.483
Loss 4.643461484785961e-05, Test Accuracy 0.98769564188045, Train Accuracy 1.0, Val Accuracy 0.9745217281839121, Test Seq Accuracy 0.7182499999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5010000000000001
Loss 3.1927977587379836e-05, Test Accuracy 0.9861412943705269, Train Accuracy 1.0, Val Accuracy 0.9745325968317363, Test Seq Accuracy 0.69375, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5
Loss 2.3428046994883083e-05, Test Accuracy 0.9862608598626178, Train Accuracy 1.0, Val Accuracy 0.9742391184620235, Test Seq Accuracy 0.6962499999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.49450000000000005
Loss 1.7928869372395717e-05, Test Accuracy 0.9863586863745814, Train Accuracy 1.0, Val Accuracy 0.9739021621320558, Test Seq Accuracy 0.698, Train Seq Accuracy 1.0, Val Seq Accuracy 0.48675000000000007
Loss 1.4124124351402987e-05, Test Accuracy 0.9863586863745814, Train Accuracy 1.0, Val Accuracy 0.9728695535141488, Test Seq Accuracy 0.698, Train Seq Accuracy 1.0, Val Seq Accuracy 0.4677500000000001
Loss 1.1374847457298767e-05, Test Accuracy 0.9863586863745814, Train Accuracy 1.0, Val Accuracy 0.9732282490833946, Test Seq Accuracy 0.698, Train Seq Accuracy 1.0, Val Seq Accuracy 0.476
Loss 9.326521135137781e-06, Test Accuracy 0.9846956429274186, Train Accuracy 1.0, Val Accuracy 0.9735978143370669, Test Seq Accuracy 0.6597500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.4845
Loss 7.739272879679566e-06, Test Accuracy 0.9846956429274186, Train Accuracy 1.0, Val Accuracy 0.9735978143370669, Test Seq Accuracy 0.6597500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.4845
Loss 6.5013629627292575e-06, Test Accuracy 0.9846956429274186, Train Accuracy 1.0, Val Accuracy 0.9735978143370669, Test Seq Accuracy 0.6597500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.4845
Loss 5.500420862201439e-06, Test Accuracy 0.9829565128554468, Train Accuracy 1.0, Val Accuracy 0.9735978143370669, Test Seq Accuracy 0.61975, Train Seq Accuracy 1.0, Val Seq Accuracy 0.4845
Loss 4.70721241309429e-06, Test Accuracy 0.9825978175453518, Train Accuracy 1.0, Val Accuracy 0.9736304230016211, Test Seq Accuracy 0.6115, Train Seq Accuracy 1.0, Val Seq Accuracy 0.48524999999999985
Loss 4.043994008300259e-06, Test Accuracy 0.9830760784771131, Train Accuracy 1.0, Val Accuracy 0.9738912924476292, Test Seq Accuracy 0.622, Train Seq Accuracy 1.0, Val Seq Accuracy 0.49124999999999996
Loss 3.4761431616852465e-06, Test Accuracy 0.9834130348070808, Train Accuracy 1.0, Val Accuracy 0.9742717273857282, Test Seq Accuracy 0.62975, Train Seq Accuracy 1.0, Val Seq Accuracy 0.4999999999999999
Loss 2.992049659318898e-06, Test Accuracy 0.9829999915931535, Train Accuracy 1.0, Val Accuracy 0.9742717273857282, Test Seq Accuracy 0.62025, Train Seq Accuracy 1.0, Val Seq Accuracy 0.4999999999999999
Loss 2.5910915649981927e-06, Test Accuracy 0.9829999915931535, Train Accuracy 1.0, Val Accuracy 0.9742717273857282, Test Seq Accuracy 0.62025, Train Seq Accuracy 1.0, Val Seq Accuracy 0.4999999999999999
Loss 2.2757569398811977e-06, Test Accuracy 0.9829999915931535, Train Accuracy 1.0, Val Accuracy 0.9742717273857282, Test Seq Accuracy 0.62025, Train Seq Accuracy 1.0, Val Seq Accuracy 0.4999999999999999
Loss 2.014326246748881e-06, Test Accuracy 0.9829999915931535, Train Accuracy 1.0, Val Accuracy 0.9742717273857282, Test Seq Accuracy 0.62025, Train Seq Accuracy 1.0, Val Seq Accuracy 0.4999999999999999
Loss 1.7947734348759379e-06, Test Accuracy 0.982804339605829, Train Accuracy 1.0, Val Accuracy 0.9742717273857282, Test Seq Accuracy 0.61575, Train Seq Accuracy 1.0, Val Seq Accuracy 0.4999999999999999
Loss 1.6108804076160912e-06, Test Accuracy 0.982804339605829, Train Accuracy 1.0, Val Accuracy 0.9742717273857282, Test Seq Accuracy 0.61575, Train Seq Accuracy 1.0, Val Seq Accuracy 0.4999999999999999
Loss 1.4421215303667376e-06, Test Accuracy 0.982804339605829, Train Accuracy 1.0, Val Accuracy 0.9746195535296979, Test Seq Accuracy 0.61575, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5029999999999999
Loss 1.2706674644267997e-06, Test Accuracy 0.9827065136121667, Train Accuracy 1.0, Val Accuracy 0.9746630318786786, Test Seq Accuracy 0.6135, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5035000000000001
Loss 1.0971400669128026e-06, Test Accuracy 0.9823043399530909, Train Accuracy 1.0, Val Accuracy 0.9747065100980842, Test Seq Accuracy 0.6042500000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.504
Loss 9.292104906584744e-07, Test Accuracy 0.9823043399530909, Train Accuracy 1.0, Val Accuracy 0.9749565099892409, Test Seq Accuracy 0.6042500000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.505
Loss 7.762079368821224e-07, Test Accuracy 0.9823043399530909, Train Accuracy 1.0, Val Accuracy 0.9749565099892409, Test Seq Accuracy 0.6042500000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.505
Loss 6.404130228633142e-07, Test Accuracy 0.9823043399530909, Train Accuracy 1.0, Val Accuracy 0.9752608580433804, Test Seq Accuracy 0.6042500000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5082500000000001
Loss 5.294965850897944e-07, Test Accuracy 0.9823043399530909, Train Accuracy 1.0, Val Accuracy 0.9752608580433804, Test Seq Accuracy 0.6042500000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5082500000000001
Loss 4.4117804582524317e-07, Test Accuracy 0.9821956442750018, Train Accuracy 1.0, Val Accuracy 0.9752608580433804, Test Seq Accuracy 0.6017500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5082500000000001
Loss 3.7110369347552163e-07, Test Accuracy 0.9821956442750018, Train Accuracy 1.0, Val Accuracy 0.9751304232555887, Test Seq Accuracy 0.6017500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5090000000000001
Loss 3.1367590449720056e-07, Test Accuracy 0.9821956442750018, Train Accuracy 1.0, Val Accuracy 0.9751304232555887, Test Seq Accuracy 0.6017500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5090000000000001
Loss 2.6951667440817284e-07, Test Accuracy 0.9821956442750018, Train Accuracy 1.0, Val Accuracy 0.9751304232555887, Test Seq Accuracy 0.6017500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5090000000000001
Loss 2.3116235356808276e-07, Test Accuracy 0.9821956442750018, Train Accuracy 1.0, Val Accuracy 0.9752717274686564, Test Seq Accuracy 0.6017500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5122500000000001
Loss 1.9633254218522622e-07, Test Accuracy 0.9821956442750018, Train Accuracy 1.0, Val Accuracy 0.9753912925720215, Test Seq Accuracy 0.6017500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.51375
Loss 1.7021013421902392e-07, Test Accuracy 0.9821956442750018, Train Accuracy 1.0, Val Accuracy 0.975119553571162, Test Seq Accuracy 0.6017500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.51125
Loss 1.4740488080386296e-07, Test Accuracy 0.9821956442750018, Train Accuracy 1.0, Val Accuracy 0.9750217275774997, Test Seq Accuracy 0.6017500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.51125
Loss 1.2584353933799203e-07, Test Accuracy 0.9819891226032506, Train Accuracy 1.0, Val Accuracy 0.9750217275774997, Test Seq Accuracy 0.597, Train Seq Accuracy 1.0, Val Seq Accuracy 0.51125
Loss 1.1153842340560083e-07, Test Accuracy 0.9815760790005974, Train Accuracy 1.0, Val Accuracy 0.9750217275774997, Test Seq Accuracy 0.5875000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.51125
Loss 9.578208016097525e-08, Test Accuracy 0.9815760790005974, Train Accuracy 1.0, Val Accuracy 0.9751956404551215, Test Seq Accuracy 0.5875000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5127499999999999
Loss 8.437944851048877e-08, Test Accuracy 0.9815760790005974, Train Accuracy 1.0, Val Accuracy 0.9750217275774997, Test Seq Accuracy 0.5875000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.51125
Loss 7.111093410734927e-08, Test Accuracy 0.9814239052326783, Train Accuracy 1.0, Val Accuracy 0.9750217275774997, Test Seq Accuracy 0.58625, Train Seq Accuracy 1.0, Val Seq Accuracy 0.51125
Loss 6.115954459781515e-08, Test Accuracy 0.9814239052326783, Train Accuracy 1.0, Val Accuracy 0.9751412926808648, Test Seq Accuracy 0.58625, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5127499999999999
Loss 5.28667274208957e-08, Test Accuracy 0.9809130353772122, Train Accuracy 1.0, Val Accuracy 0.9752065100099729, Test Seq Accuracy 0.5744999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5127499999999999
Loss 4.664711330247962e-08, Test Accuracy 0.9809130353772122, Train Accuracy 1.0, Val Accuracy 0.9752608577842298, Test Seq Accuracy 0.5744999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.51325
Loss 4.1049460101614546e-08, Test Accuracy 0.9809130353772122, Train Accuracy 1.0, Val Accuracy 0.9752065100099729, Test Seq Accuracy 0.5744999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5127499999999999
Loss 3.607377028975347e-08, Test Accuracy 0.9809130353772122, Train Accuracy 1.0, Val Accuracy 0.9752065100099729, Test Seq Accuracy 0.5744999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5127499999999999
Loss 3.068343245183275e-08, Test Accuracy 0.9809130353772122, Train Accuracy 1.0, Val Accuracy 0.9756956403670104, Test Seq Accuracy 0.5744999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.52325
Loss 2.5500422334121337e-08, Test Accuracy 0.9809130353772122, Train Accuracy 1.0, Val Accuracy 0.9761847705944725, Test Seq Accuracy 0.5744999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.52725
Loss 2.3427214332711985e-08, Test Accuracy 0.9809130353772122, Train Accuracy 1.0, Val Accuracy 0.9764565094657566, Test Seq Accuracy 0.5744999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.52875
Loss 2.0732047885204614e-08, Test Accuracy 0.9809130353772122, Train Accuracy 1.0, Val Accuracy 0.9764565094657566, Test Seq Accuracy 0.5744999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.52875
Loss 1.762224082599657e-08, Test Accuracy 0.9809130353772122, Train Accuracy 1.0, Val Accuracy 0.9766521614530812, Test Seq Accuracy 0.5744999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.53325
Writing models at epoch 53
Loss 1.3268511931686511e-08, Test Accuracy 0.9809130353772122, Train Accuracy 1.0, Val Accuracy 0.9770108572814775, Test Seq Accuracy 0.5744999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5414999999999999
