Writing models at epoch 1
Loss 0.054464412772137184, Test Accuracy 0.9469130335942558, Train Accuracy 0.9773208925442666, Val Accuracy 0.9504999883796857, Test Seq Accuracy 0.08775, Train Seq Accuracy 0.5885238095238098, Val Seq Accuracy 0.1425
Loss 0.015319657066594, Test Accuracy 0.9551739029262377, Train Accuracy 0.9961459544628056, Val Accuracy 0.9532499878302865, Test Seq Accuracy 0.08175, Train Seq Accuracy 0.9170714285714283, Val Seq Accuracy 0.13774999999999998
Writing models at epoch 3
Loss 0.006200572718744693, Test Accuracy 0.9623586869758108, Train Accuracy 0.9988509299592202, Val Accuracy 0.9648152062426443, Test Seq Accuracy 0.21475, Train Seq Accuracy 0.9739523809523808, Val Seq Accuracy 0.303
Writing models at epoch 4
Loss 0.003789241223231606, Test Accuracy 0.9648152062426443, Train Accuracy 0.9997070393577125, Val Accuracy 0.9701739023561063, Test Seq Accuracy 0.28075000000000006, Train Seq Accuracy 0.9932619047619067, Val Seq Accuracy 0.37475
Writing models at epoch 5
Loss 0.0018732361495494843, Test Accuracy 0.9711630331433337, Train Accuracy 0.9999461698112527, Val Accuracy 0.9805760774923408, Test Seq Accuracy 0.3842499999999999, Train Seq Accuracy 0.9987619047619052, Val Seq Accuracy 0.5865
Loss 0.0007447824691948683, Test Accuracy 0.9780434690091921, Train Accuracy 0.9999948240214993, Val Accuracy 0.9741195559501648, Test Seq Accuracy 0.5057500000000001, Train Seq Accuracy 0.9998809523809525, Val Seq Accuracy 0.48649999999999993
Loss 0.0026878065065197325, Test Accuracy 0.9761304256708726, Train Accuracy 0.9999761904865565, Val Accuracy 0.9681304238412691, Test Seq Accuracy 0.48599999999999993, Train Seq Accuracy 0.9994523809523812, Val Seq Accuracy 0.45725
Loss 0.0002606965439475101, Test Accuracy 0.9771956412688546, Train Accuracy 0.9999772256945971, Val Accuracy 0.9742391187211742, Test Seq Accuracy 0.50125, Train Seq Accuracy 0.9994761904761909, Val Seq Accuracy 0.504
Loss 0.0003188948916352314, Test Accuracy 0.9771195571059766, Train Accuracy 0.9997577637865923, Val Accuracy 0.9793260810167893, Test Seq Accuracy 0.48050000000000004, Train Seq Accuracy 0.9944285714285735, Val Seq Accuracy 0.5267499999999999
Loss 0.0002602548338472843, Test Accuracy 0.9784891207580981, Train Accuracy 0.9999968944128996, Val Accuracy 0.9785760756420052, Test Seq Accuracy 0.50525, Train Seq Accuracy 0.9999285714285715, Val Seq Accuracy 0.5605
Writing models at epoch 11
Loss 0.00013662775492538577, Test Accuracy 0.988695645591487, Train Accuracy 1.0, Val Accuracy 0.9888152105652768, Test Seq Accuracy 0.7405, Train Seq Accuracy 1.0, Val Seq Accuracy 0.74375
Loss 0.0020473497393338575, Test Accuracy 0.97846737737241, Train Accuracy 0.9998861283742616, Val Accuracy 0.9872608608525733, Test Seq Accuracy 0.5695, Train Seq Accuracy 0.9974047619047628, Val Seq Accuracy 0.7140000000000001
Writing models at epoch 13
Loss 5.404036694570728e-05, Test Accuracy 0.9896521648635035, Train Accuracy 1.0, Val Accuracy 0.9895543396472931, Test Seq Accuracy 0.7655, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7597499999999999
Loss 0.0024438058228596397, Test Accuracy 0.9885978192090988, Train Accuracy 0.9998488613043759, Val Accuracy 0.9855325992988504, Test Seq Accuracy 0.7385000000000002, Train Seq Accuracy 0.9965714285714298, Val Seq Accuracy 0.6747499999999998
Loss 5.476039571120687e-05, Test Accuracy 0.986369558520939, Train Accuracy 0.9999792960613164, Val Accuracy 0.9817608628583991, Test Seq Accuracy 0.7234999999999999, Train Seq Accuracy 0.9995238095238098, Val Seq Accuracy 0.5985
Loss 0.00034373055171707404, Test Accuracy 0.9880217312470726, Train Accuracy 0.999872670756117, Val Accuracy 0.9859021628680437, Test Seq Accuracy 0.7245, Train Seq Accuracy 0.9970714285714296, Val Seq Accuracy 0.688
Loss 0.00010259255118992017, Test Accuracy 0.9871086891578591, Train Accuracy 0.9999606625633951, Val Accuracy 0.9889347757982171, Test Seq Accuracy 0.7360000000000001, Train Seq Accuracy 0.9990952380952387, Val Seq Accuracy 0.7464999999999999
Loss 3.157325250946957e-05, Test Accuracy 0.9879782526389412, Train Accuracy 0.9999989648042998, Val Accuracy 0.9875869503487711, Test Seq Accuracy 0.7497499999999999, Train Seq Accuracy 0.9999761904761905, Val Seq Accuracy 0.71575
Loss 0.0001168475061169137, Test Accuracy 0.9839999890845755, Train Accuracy 1.0, Val Accuracy 0.9848043343295222, Test Seq Accuracy 0.6575, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7005000000000001
Loss 3.855871087264108e-05, Test Accuracy 0.9843695501918378, Train Accuracy 1.0, Val Accuracy 0.9740760753984037, Test Seq Accuracy 0.711, Train Seq Accuracy 1.0, Val Seq Accuracy 0.59175
Loss 3.338025872717085e-05, Test Accuracy 0.9865760765645815, Train Accuracy 0.9999958592171995, Val Accuracy 0.98348911948826, Test Seq Accuracy 0.71675, Train Seq Accuracy 0.999904761904762, Val Seq Accuracy 0.66575
Writing models at epoch 22
Loss 7.63198553139101e-05, Test Accuracy 0.9913912950650505, Train Accuracy 0.9999265010682692, Val Accuracy 0.9896195571059766, Test Seq Accuracy 0.8297500000000001, Train Seq Accuracy 0.9983095238095245, Val Seq Accuracy 0.7675
Loss 1.8036053718432136e-05, Test Accuracy 0.9942391255627507, Train Accuracy 1.0, Val Accuracy 0.9872934696467026, Test Seq Accuracy 0.8675000000000003, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7219999999999999
Loss 0.00011299061588943005, Test Accuracy 0.9923043405232223, Train Accuracy 0.9999699793123558, Val Accuracy 0.9837499869906384, Test Seq Accuracy 0.83575, Train Seq Accuracy 0.9993095238095242, Val Seq Accuracy 0.7015
Loss 0.0037665551771288333, Test Accuracy 0.986576075139253, Train Accuracy 0.9998561077606604, Val Accuracy 0.9774021594420723, Test Seq Accuracy 0.7172500000000002, Train Seq Accuracy 0.9966904761904773, Val Seq Accuracy 0.57325
Loss 2.016565058906765e-05, Test Accuracy 0.990206515400306, Train Accuracy 1.0, Val Accuracy 0.9791847698066546, Test Seq Accuracy 0.78825, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6027500000000001
Loss 8.629571201036806e-05, Test Accuracy 0.9835978198310603, Train Accuracy 0.9998840579088183, Val Accuracy 0.9806956387084463, Test Seq Accuracy 0.6755000000000001, Train Seq Accuracy 0.9973333333333348, Val Seq Accuracy 0.62225
Loss 9.533331688979398e-05, Test Accuracy 0.9907934650130894, Train Accuracy 0.9999813664650572, Val Accuracy 0.9829782514468484, Test Seq Accuracy 0.808, Train Seq Accuracy 0.9995714285714287, Val Seq Accuracy 0.6639999999999999
Loss 7.254061410608499e-05, Test Accuracy 0.9877065128606298, Train Accuracy 1.0, Val Accuracy 0.9863586867633073, Test Seq Accuracy 0.7372500000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7235000000000001
Loss 2.3767638080955848e-05, Test Accuracy 0.9872499928526256, Train Accuracy 0.9999875776392579, Val Accuracy 0.9864456409993378, Test Seq Accuracy 0.7155000000000002, Train Seq Accuracy 0.9997142857142859, Val Seq Accuracy 0.71075
Loss 0.001124875053115513, Test Accuracy 0.9862717316202495, Train Accuracy 0.999939958612371, Val Accuracy 0.9855217278003693, Test Seq Accuracy 0.7282499999999998, Train Seq Accuracy 0.9986190476190483, Val Seq Accuracy 0.681
Loss 1.9590131199473273e-05, Test Accuracy 0.9915434681850931, Train Accuracy 1.0, Val Accuracy 0.9853152070356452, Test Seq Accuracy 0.8465, Train Seq Accuracy 1.0, Val Seq Accuracy 0.72825
Loss 1.1932952633208554e-05, Test Accuracy 0.9894782496535259, Train Accuracy 1.0, Val Accuracy 0.9814782476943472, Test Seq Accuracy 0.8255000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.71425
Loss 0.0011788370978573093, Test Accuracy 0.9897717302260192, Train Accuracy 0.9999316770220888, Val Accuracy 0.9852825977232145, Test Seq Accuracy 0.8095000000000001, Train Seq Accuracy 0.9984285714285722, Val Seq Accuracy 0.7410000000000001
Loss 0.0032301726548568063, Test Accuracy 0.9909891193327697, Train Accuracy 0.9998674948269782, Val Accuracy 0.9847391198510709, Test Seq Accuracy 0.8355, Train Seq Accuracy 0.9970238095238108, Val Seq Accuracy 0.7324999999999999
Loss 0.0002255947531565376, Test Accuracy 0.9938369504783464, Train Accuracy 1.0, Val Accuracy 0.9802282507004945, Test Seq Accuracy 0.8880000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6505000000000001
Loss 4.533840262371561e-05, Test Accuracy 0.9917717332425324, Train Accuracy 1.0, Val Accuracy 0.9811521666205447, Test Seq Accuracy 0.837, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6787500000000001
Loss 6.754231720190981e-05, Test Accuracy 0.9908478193956872, Train Accuracy 0.9999979296085998, Val Accuracy 0.9859456413465998, Test Seq Accuracy 0.7895000000000001, Train Seq Accuracy 0.999952380952381, Val Seq Accuracy 0.7005
Writing models at epoch 39
Loss 0.000630488862162051, Test Accuracy 0.9885217271421267, Train Accuracy 0.999833333393555, Val Accuracy 0.9935543412747591, Test Seq Accuracy 0.736, Train Seq Accuracy 0.9961666666666679, Val Seq Accuracy 0.8525
Loss 3.1826600088211506e-05, Test Accuracy 0.9952391260344049, Train Accuracy 0.9999989648042998, Val Accuracy 0.9897826015949249, Test Seq Accuracy 0.8904999999999997, Train Seq Accuracy 0.9999761904761905, Val Seq Accuracy 0.76725
Loss 1.1546921956798304e-05, Test Accuracy 0.9967717356008032, Train Accuracy 1.0, Val Accuracy 0.9877717295418615, Test Seq Accuracy 0.9257500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7465
Loss 2.910738365481729e-05, Test Accuracy 0.9956195604542027, Train Accuracy 1.0, Val Accuracy 0.986228256640227, Test Seq Accuracy 0.9005000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6875000000000001
Loss 0.00015447990280454573, Test Accuracy 0.996858694890271, Train Accuracy 1.0, Val Accuracy 0.9839565170847852, Test Seq Accuracy 0.9277500000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6957500000000001
Loss 7.599954741359081e-06, Test Accuracy 0.991499992168468, Train Accuracy 1.0, Val Accuracy 0.9915760794411534, Test Seq Accuracy 0.8045, Train Seq Accuracy 1.0, Val Seq Accuracy 0.8092500000000001
Loss 5.0656897339807905e-05, Test Accuracy 0.9961739058079927, Train Accuracy 0.999956521768254, Val Accuracy 0.986891298579133, Test Seq Accuracy 0.9182499999999999, Train Seq Accuracy 0.9990000000000006, Val Seq Accuracy 0.7690000000000001
Loss 8.950440172591936e-06, Test Accuracy 0.9885326046010722, Train Accuracy 1.0, Val Accuracy 0.9924347768659177, Test Seq Accuracy 0.7507500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.8370000000000001
Loss 8.42426063330925e-06, Test Accuracy 0.9952499931273253, Train Accuracy 1.0, Val Accuracy 0.9852391222248906, Test Seq Accuracy 0.9019999999999998, Train Seq Accuracy 1.0, Val Seq Accuracy 0.74725
Loss 0.001517063249712405, Test Accuracy 0.992804338361906, Train Accuracy 1.0, Val Accuracy 0.9749999918367551, Test Seq Accuracy 0.8549999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.63625
Loss 1.5770663436421234e-05, Test Accuracy 0.9975760831781055, Train Accuracy 1.0, Val Accuracy 0.9914782520221628, Test Seq Accuracy 0.9442500000000003, Train Seq Accuracy 1.0, Val Seq Accuracy 0.8190000000000002
Writing models at epoch 50
Loss 1.5006274106385915e-05, Test Accuracy 0.9955543429955193, Train Accuracy 0.9999958592171995, Val Accuracy 0.9937282519496006, Test Seq Accuracy 0.8977499999999999, Train Seq Accuracy 0.999904761904762, Val Seq Accuracy 0.8607499999999998
Loss 0.003014473163563272, Test Accuracy 0.9932717316824456, Train Accuracy 0.999984472064498, Val Accuracy 0.9919673848411311, Test Seq Accuracy 0.8452499999999998, Train Seq Accuracy 0.9996428571428573, Val Seq Accuracy 0.8247500000000001
Loss 0.0013037215432395105, Test Accuracy 0.9976956484110459, Train Accuracy 0.9999037266271208, Val Accuracy 0.9854782491922378, Test Seq Accuracy 0.9522499999999999, Train Seq Accuracy 0.9977857142857149, Val Seq Accuracy 0.7460000000000001
Loss 6.94449079911346e-05, Test Accuracy 0.9922717314699422, Train Accuracy 0.9999958592171995, Val Accuracy 0.9937391230593557, Test Seq Accuracy 0.8395000000000001, Train Seq Accuracy 0.999904761904762, Val Seq Accuracy 0.8577499999999999
Loss 1.6587300469046053e-05, Test Accuracy 0.9910869480475135, Train Accuracy 0.999650102779732, Val Accuracy 0.9908586844154026, Test Seq Accuracy 0.8157499999999999, Train Seq Accuracy 0.9920000000000018, Val Seq Accuracy 0.8149999999999998
Writing models at epoch 55
Loss 0.00010804033271320488, Test Accuracy 0.9977173885573511, Train Accuracy 0.9999989648042998, Val Accuracy 0.994108691552411, Test Seq Accuracy 0.9475, Train Seq Accuracy 0.9999761904761905, Val Seq Accuracy 0.8644999999999999
Writing models at epoch 56
Loss 8.267869302274093e-05, Test Accuracy 0.995608689085297, Train Accuracy 1.0, Val Accuracy 0.9980434752028922, Test Seq Accuracy 0.9080000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.9549999999999998
Loss 0.0004673955314185308, Test Accuracy 0.9948695605215819, Train Accuracy 1.0, Val Accuracy 0.9913586864004964, Test Seq Accuracy 0.8819999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.8172499999999998
Loss 2.24353963225756e-05, Test Accuracy 1.0, Train Accuracy 0.9999968944128996, Val Accuracy 0.9945217299720516, Test Seq Accuracy 1.0, Train Seq Accuracy 0.9999285714285715, Val Seq Accuracy 0.8740000000000002
